44544.6596759,  0.00972, 64382,    44
44544.6950926,  0.26952, 60792,    45
44544.7891435,  0.88242, 65333,    44
44544.9117245,  0.96647, 49147,    45
44545.0444329,  0.03370, 16366,    44
44545.0769213,  0.08371, 20999,    60
44545.1005093,  0.41884, 17926,    44
44545.1473264,  0.55960, 35842,    58
44545.1598380,  0.73379, 39056,    58
44545.1871991,  0.83217,  8427,    45
44545.1874769,  0.12883, 49147,    45
44545.2076505,  0.74102, 49662,    45
44545.2299769,  0.77205, 22563,    46
44545.2859028,  0.97242, 49147,    44
44545.3030208,  0.36953, 57787,    45
44545.5432292,  0.25519, 48641,    45
44545.6075810,  0.30374, 57787,    44
44545.6251736,  0.57772, 49147,    52
44545.6364352,  0.93813, 51026,    58
44545.6465856,  0.42482, 64382,    58
44545.6563426,  0.11198,  9447,    44
44545.7024537,  0.37788, 28464,    44
44545.7167708,  0.14702, 16366,    45
44545.7324653,  0.16394, 25883,    44
44545.7396644,  0.88372, 49147,    58
44545.7728241,  0.72703, 49147,    44
44545.7998727,  0.50752, 62222,    44
44545.9078241,  0.47853, 28775,    44
44545.9206597,  0.16615, 65333,    53
44545.9433681,  0.96328, 48641,    54
44545.9597917,  0.95188, 63474,    50
44546.0409375,  0.89301, 49147,    44
44546.0817477,  0.51504, 54846,    48
44546.1728009,  0.58982, 49147,    45
44546.2447801,  0.83515, 64382,    44
44546.2596065,  0.44419, 64382,    44
44546.2705671,  0.35431, 16366,    60
44546.2963542,  0.28605, 65525,    45
44546.3054745,  0.66237, 15898,    44
44546.3102778,  0.11849, 57204,    44
44546.4788426,  0.30931,  9177,    46
44546.6598495,  0.14551, 62925,    58
44546.6971875,  0.79187, 64382,    44
44546.7117593,  0.62867,  9177,    44
44546.7650347,  0.99820, 48757,    44
44546.8468056,  0.91350, 63430,    45
44547.0734491,  0.07174, 61402,    58
44547.1013773,  0.05050,  1291,    47
44547.2361921,  0.29393,  5087,    44
44547.2772801,  0.66496, 49147,    57
44547.3228472,  0.01344, 12678,    45
44547.3810301,  0.71354, 24453,    60
44547.3968519,  0.07896,  9177,    45
44547.5489468,  0.95841,  4985,    59
44547.6335532,  0.39079, 49147,    50
44547.6503819,  0.63494, 49662,    58
44547.6504977,  0.37569, 49662,    58
44547.7398727,  0.52413, 30864,    58
44547.7471644,  0.60825, 49147,    44
44547.7756713,  0.77985,  3098,    56
44547.8821412,  0.25745,  5087,    44
44547.9884722,  0.78585, 15695,    59
44548.0493981,  0.52315, 32926,    58
44548.1231134,  0.71939, 58190,    44
44548.2813542,  0.94007, 62925,    44
44548.3711458,  0.17424, 39056,    58
44548.4705903,  0.90659,  7657,    44
44548.6596644,  0.65356, 64382,    59
44548.6957986,  0.65707, 49147,    45
44548.7248380,  0.87496, 64382,    51
44548.7431481,  0.09902, 65525,    45
44548.7454861,  0.64456,  9177,    67
44548.8766551,  0.81772, 53243,    51
44548.8950116,  0.30561, 64382,    59
44548.9014931,  0.51607, 16366,    47
44548.9073843,  0.46564, 57730,    58
44549.1292130,  0.51532, 49147,    60
44549.2358102,  0.48583, 16366,    45
44549.2448611,  0.03019, 16366,    44
44549.2810648,  0.85790,  9177,    58
44549.3423148,  0.03742, 18058,    59
44549.3569213,  0.66201, 57972,    44
44549.4168866,  0.57772, 15695,    47
44549.4270718,  0.30893, 48641,    58
44549.4896296,  0.83759, 49147,    44
44549.5218634,  0.43512, 32926,    45
44549.5226852,  0.21585, 64382,    44
44549.5228704,  0.15849, 64382,    44
44549.5573495,  0.38719, 62222,    44
44549.6446412,  0.66247, 33123,    44
44549.7338889,  0.59215, 49147,    59
44549.7628819,  0.25166,  7433,    58
44549.7757060,  0.64281, 57730,    44
44549.7905208,  0.72542, 39171,    44
44549.8189352,  0.33199, 28775,    44
44549.8743287,  0.36480, 64382,    57
44549.9612616,  0.22622, 57787,    58
44549.9687731,  0.92872, 64382,    50
44549.9845139,  0.53731,  6426,    58
44550.0302083,  0.07658,  2524,    44
44550.0870255,  0.47757, 14369,    55
44550.2021412,  0.48480, 14369,    58
44550.2416319,  0.04234,  2524,    44
44550.3085301,  0.57988, 16580,    58
44550.3335648,  0.11554,  4114,    44
44550.3659838,  0.27264, 48347,    57
44550.4179167,  0.59167, 63474,    44
44550.5109028,  0.71462, 59852,    44
44550.5916088,  0.02866,  1903,    45
44550.6026968,  0.91310,  5087,    44
44550.6171759,  0.66751, 41459,    59
44550.6438657,  0.30081, 49147,    58
44550.6610301,  0.66247, 12678,    44
44550.6712731,  0.41049, 64382,    44
44550.7196296,  0.73334, 49147,    44
44550.7530440,  0.10471,  9234,    58
44550.8754167,  0.17016,  9177,    59
44550.9569097,  0.46317, 49147,    45
44551.0588310,  0.60516, 64382,    46
