44544.6853935,  0.46792,  7631,    60
44544.6941782,  0.69134, 10363,    61
44544.7206713,  0.90215, 19926,    60
44544.7406944,  0.38136, 37199,    59
44544.7966088,  0.65104,  9177,    46
44544.9246181,  0.80798, 49147,    57
44544.9818056,  0.02287, 64382,    59
44544.9866782,  0.12307, 28775,    46
44545.0161806,  0.64939, 36894,    46
44545.0669676,  0.49432, 36809,    55
44545.0720718,  0.54588,   769,    60
44545.1971875,  0.88554, 57730,    46
44545.2392477,  0.37956, 39327,    45
44545.2864005,  0.55394, 48641,    59
44545.5104745,  0.03770, 12678,    45
44545.5785069,  0.42189, 12678,    46
44545.5792708,  0.08825, 59852,    46
44545.5997569,  0.71973, 64382,    46
44545.6325694,  0.91634, 14369,    43
44545.6326736,  0.76139, 14369,    59
44545.6616204,  0.12108, 16366,    45
44545.7426273,  0.79303, 61402,    45
44545.7603241,  0.60811, 49147,    45
44545.8076736,  0.74421, 35842,    46
44545.8778356,  0.23757,  5087,    47
44545.9700000,  0.94012, 30864,    59
44545.9957407,  0.40156, 62222,    59
44546.3404051,  0.15336, 24838,    46
44546.4267245,  0.42230, 49147,    59
44546.4570023,  0.26280, 45596,    46
44546.5076620,  0.61094, 39327,    59
44546.8107986,  0.51328, 49147,    45
44546.8296412,  0.45976, 61970,    60
44546.9433796,  0.39400,  3063,    46
44547.0054745,  0.42597, 24838,    46
44547.0423611,  0.19457, 62222,    58
44547.2355556,  0.19865,  9177,    59
44547.3341667,  0.39151,  3985,    59
44547.3717940,  0.30120, 62086,    46
44547.3920833,  0.19884, 23579,    46
44547.5560185,  0.43087, 24838,    46
44547.5612731,  0.48156, 64382,    52
44547.7507060,  0.32369,  5087,    45
44547.7591782,  0.04716, 34852,    59
44547.7821181,  0.26743, 32926,    50
44547.8119676,  0.52029,  3098,    60
44547.8196412,  0.72242, 64382,    45
44547.8666319,  0.76617, 64382,    46
44547.9077083,  0.78434, 25974,    59
44547.9803935,  0.24811, 63430,    45
44547.9909491,  0.12242, 12678,    44
44548.2743750,  0.24269, 64382,    47
44548.4171875,  0.65320,  9447,    58
44548.5116551,  0.77759, 14369,    60
44548.5355671,  0.97547,  5087,    45
44548.5829051,  0.86649, 24838,    59
44548.6024074,  0.80387, 57730,    46
44548.6075579,  0.90858,  3985,    58
44548.6352778,  0.87734, 16366,    46
44548.6708102,  0.86944, 62925,    45
44548.7085880,  0.00602,  3098,    45
44548.9469444,  0.99047, 14369,    59
44549.0104398,  0.73509, 33123,    58
44549.0244444,  0.23599, 35842,    46
44549.0609606,  0.67569, 15886,    57
44549.0727778,  0.61324, 63474,    45
44549.0901620,  0.71877,  9177,    45
44549.1702662,  0.16533, 60792,    45
44549.1719329,  0.03314,  3098,    46
44549.1759954,  0.56575, 36809,    45
44549.1922569,  0.50973, 39327,    45
44549.2518403,  0.46128, 53243,    45
44549.2985532,  0.45220, 16366,    46
44549.3141435,  0.76043,   799,    45
44549.3161458,  0.44332, 59852,    48
44549.3825694,  0.60602, 35842,    46
44549.4548495,  0.01824, 63474,    46
44549.5068171,  0.64994, 32926,    54
44549.5176505,  0.85144, 64382,    45
44549.5276736,  0.61636,  5087,    59
44549.5382986,  0.94562, 49147,    46
44549.6071065,  0.77503, 22563,    48
44549.8337847,  0.13917, 35842,    59
44549.8695255,  0.26601, 49147,    59
44549.8857176,  0.97074, 49040,    60
44549.9210995,  0.55725, 17926,    45
44549.9365394,  0.29364,  7631,    55
44549.9892477,  0.49567, 64382,    45
44550.1412616,  0.41491, 15886,    68
44550.2397338,  0.74997,  9447,    47
44550.2423495,  0.83275, 49147,    45
44550.3365162,  0.27398, 16580,    45
44550.5990278,  0.92630, 22386,    45
44550.6102546,  0.30153, 63430,    60
44550.7729051,  0.23124, 36894,    45
44550.8222454,  0.02738, 64382,    45
44550.8367014,  0.70917, 16366,    59
44550.9392130,  0.55764, 33377,    60
44550.9411111,  0.93501, 49662,    46
44550.9561806,  0.08136, 25315,    45
44550.9609259,  0.11294, 49147,    58
44550.9852199,  0.60247, 11396,    46
44551.1065394,  0.22202, 16366,    57
44551.1367940,  0.11774, 12678,    59
44551.1610995,  0.23618, 64382,    59
44551.1756481,  0.51194,  3098,    59
44551.1802199,  0.47930,  9177,    58
44551.1829051,  0.80983, 12678,    60
44551.1924074,  0.50856, 30864,    60
44551.2022454,  0.02995,  5136,    46
44551.2187037,  0.08501, 62925,    46
44551.2532407,  0.45708,  3673,    45
44551.3474769,  0.69650,   769,    55
44551.3934375,  0.23277, 49147,    46
44551.5143981,  0.73238, 25869,    59
44551.6388194,  0.60955, 49662,    45
44551.6902083,  0.40456, 29280,    46
44551.7366782,  0.33569, 29280,    60
44551.8356019,  0.64610, 15886,    46
44551.8880324,  0.90405, 35842,    46
44551.8882639,  0.08453, 35842,    60
44551.9092361,  0.25272,  9177,    47
44551.9408681,  0.79795, 10162,    46
44551.9410995,  0.48710, 28775,    46
44552.0509606,  0.07073, 39171,    60
44552.0940856,  0.26697,  4114,    60
44552.1008333,  0.47076, 10363,    46
44552.1448495,  0.11196, 45562,    60
44552.3062731,  0.17503, 49147,    60
44552.3068750,  0.30722,  5087,    47
44552.3069213,  0.25226,  5087,    47
44552.4560185,  0.70797,  9177,    46
44552.4762269,  0.80524, 16366,    60
44552.4775347,  0.98037, 64382,    46
44552.5114120,  0.17256, 63474,    48
44552.5656366,  0.19320,  9177,    55
44552.7109838,  0.33948, 49717,    47
44552.7162153,  0.80611,  9177,    46
44552.7177894,  0.03074, 49147,    47
44552.7760417,  0.24535, 49147,    47
44552.8826852,  0.23114,  9177,    60
44552.9138773,  0.20253, 49147,    47
44552.9227546,  0.04829,  5087,    60
44552.9407407,  0.56851,  3985,    57
44552.9533218,  0.17976,  9792,    60
44553.1023148,  0.00989, 16366,    47
44553.1307176,  0.93470, 36809,    48
44553.2037153,  0.96237, 49662,    47
44553.2205324,  0.29916, 16366,    46
44553.2506134,  0.93558,  9177,    47
44553.3000463,  0.65215, 28775,    56
44553.4332639,  0.35097, 57730,    47
44553.4486343,  0.20165,  9177,    46
44553.5186227,  0.46867, 14085,    47
44553.5188310,  0.12933, 12678,    62
44553.5248611,  0.79312, 25315,    60
44553.5298148,  0.97238, 65011,    60
44553.6138773,  0.24597, 64382,    44
44553.6716435,  0.47496, 12678,    47
44553.7286921,  0.78201, 16366,    46
44553.7926389,  0.82787, 50380,    47
44553.8998958,  0.25781, 64825,    46
44553.9321181,  0.81107, 29280,    47
44554.1375810,  0.92810, 39056,    60
44554.2321181,  0.37373, 63474,    61
44554.4980903,  0.35949, 24838,    46
44554.5902894,  0.95646, 49147,    46
44554.5913657,  0.20258, 57787,    47
44554.7491667,  0.06161, 46068,    60
44554.8100463,  0.50779, 49040,    58
44554.9502315,  0.47875, 58376,    46
44555.0657407,  0.95174, 30266,    47
44555.0793403,  0.53575, 49147,    60
44555.1742245,  0.79430,  9177,    47
44555.1960764,  0.96834,  5087,    57
44555.2308681,  0.59618, 12678,    60
44555.3378356,  0.16281, 65525,    46
44555.5051389,  0.64307, 29717,    60
44555.5076042,  0.71306, 11039,    59
44555.5977778,  0.96306, 16366,    46
44555.6071875,  0.38448, 20681,    46
44555.6417014,  0.75143, 30864,    60
44555.7971181,  0.92147, 60737,    60
44555.8666551,  0.51225, 63430,    59
44555.9128241,  0.84093,  3985,    46
44555.9715162,  0.53097, 64382,    47
44556.0934954,  0.53803, 64382,    46
44556.0936343,  0.48242, 48641,    47
44556.2206944,  0.44388,  9177,    46
44556.3051852,  0.58975, 36894,    47
44556.3462269,  0.45662,  1291,    53
44556.3612153,  0.79259, 49147,    60
44556.4174190,  0.48093,  5087,    45
44556.5742593,  0.01138,  9177,    61
44556.5943056,  0.41719, 25974,    46
44556.6809954,  0.67293, 16366,    55
44556.6834028,  0.95070,  9177,    46
44556.9144792,  0.89090,  9177,    46
44556.9515394,  0.09226, 24358,    47
44556.9547338,  0.94974, 29280,    60
44556.9657292,  0.93414,  5136,    60
44557.0003356,  0.22015, 49147,    60
44557.0022685,  0.66463, 27150,    59
44557.0961111,  0.91792, 36809,    60
44557.1313773,  0.00725, 41459,    56
44557.2101505,  0.24929, 65011,    60
44557.2815509,  0.48650, 12678,    47
44557.3272338,  0.19778, 57204,    47
44557.3533102,  0.82840, 32926,    61
44557.3828356,  0.61116,  5087,    46
44557.4625347,  0.17805, 49147,    60
44557.6008796,  0.31404, 63474,    57
44557.6580093,  0.66285, 48641,    46
44557.7328241,  0.01260, 49147,    60
44558.0053704,  0.11290, 49147,    47
44558.0086806,  0.59008, 16366,    46
44558.1440509,  0.30684, 64382,    60
44558.1513194,  0.03910,  9177,    60
44558.1603125,  0.02198, 49147,    45
44558.2099190,  0.05642,  9177,    47
44558.3209606,  0.40992,  5087,    47
44558.3763310,  0.43149, 28775,    60
44558.4570949,  0.84455, 57787,    46
44558.6811458,  0.40514,   769,    46
44558.7462847,  0.67041,  6713,    48
44558.7828009,  0.09643, 49147,    47
44558.8388657,  0.09422,  7631,    60
44558.8476968,  0.42372,  9792,    46
44558.8758218,  0.79658,   769,    46
44558.8763310,  0.16778, 48641,    60
44558.9233796,  0.05702, 49147,    59
44558.9750926,  0.53234, 27245,    46
44558.9751620,  0.74824, 27245,    59
44558.9758102,  0.68349, 27245,    95
44558.9799537,  0.57818, 14369,    53
44558.9935301,  0.52243, 32926,    43
44559.0398843,  0.72832,  9054,    46
44559.0400347,  0.18091,  9054,    46
44559.0401042,  0.40807,  9054,    45
44559.0401736,  0.63527,  9054,    58
44559.0402431,  0.86152,  9054,    45
44559.0403241,  0.08777,  9054,    57
44559.0404630,  0.54045,  9054,    45
44559.0406829,  0.21933,  9054,    65
44559.0407523,  0.44695,  9054,    59
44559.0409722,  0.13128,  9054,    67
44559.0411111,  0.59126,  9054,    72
44559.0794097,  0.10188,  9550,    43
44559.0794792,  0.29287,  9550,    48
44559.0795486,  0.48499,  9550,    72
44559.0796875,  0.87004,  9550,    46
